id_intervento,tipo,nome,fase,fase_orig,data_stato,data_attivazione,data_fine
Aree_Pedonali:0ca311f602,area_pedonale,Via Frattina,da_definire,,placeholder,,
Aree_Pedonali:b73c00194b,area_pedonale,Via delle Carrozze,da_definire,,placeholder,,
Aree_Pedonali:4124217b46,area_pedonale,Via dei Condotti,da_definire,,placeholder,,
Aree_Pedonali:d751a4fc62,area_pedonale,Via della Croce,da_definire,,placeholder,,
Aree_Pedonali:e782135be9,area_pedonale,Vicolo del Lupo,da_definire,,placeholder,,
Aree_Pedonali:48c2e2e0f6,area_pedonale,Vicolo delle Orsoline,da_definire,,placeholder,,
Aree_Pedonali:30d280af02,area_pedonale,Via Alibert,da_definire,,placeholder,,
Aree_Pedonali:d4a2bed305,area_pedonale,Via Margutta,da_definire,,placeholder,,
Aree_Pedonali:2eefccc4d1,area_pedonale,Piazza del Popolo,da_definire,,placeholder,,
Aree_Pedonali:a8e4f72e4a,area_pedonale,Via del Corso,da_definire,,placeholder,,
Aree_Pedonali:1d9eb375b8,area_pedonale,Via del Vantaggio,da_definire,,placeholder,,
Aree_Pedonali:69c2c9c682,area_pedonale,Via Laurina,da_definire,,placeholder,,
Aree_Pedonali:085efa5c56,area_pedonale,Vicolo Belsiana,da_definire,,placeholder,,
Aree_Pedonali:b2702b2675,area_pedonale,Via della Frezza,da_definire,,placeholder,,
Aree_Pedonali:d2b3f3c25f,area_pedonale,Largo S. Carlo al Corso,da_definire,,placeholder,,
Aree_Pedonali:61433e947f,area_pedonale,Largo dei Lombardi,da_definire,,placeholder,,
Aree_Pedonali:794425ff50,area_pedonale,Via della Tribuna di S. Carlo,da_definire,,placeholder,,
Aree_Pedonali:bff532b9f8,area_pedonale,Piazza Augusto Imperatore,da_definire,,placeholder,,
Aree_Pedonali:32fcf7e47a,area_pedonale,Via in Lucina,da_definire,,placeholder,,
Aree_Pedonali:ff2edcb9ac,area_pedonale,Piazza del Parlamento,da_definire,,placeholder,,
Aree_Pedonali:a810c2aca4,area_pedonale,Piazza di Montecitorio,da_definire,,placeholder,,
Aree_Pedonali:c3272133e6,area_pedonale,Piazza Colonna,da_definire,,placeholder,,
Aree_Pedonali:f0623e454b,area_pedonale,Via dell'Impresa,da_definire,,placeholder,,
Aree_Pedonali:949074ff84,area_pedonale,Via della Missione,da_definire,,placeholder,,
Aree_Pedonali:0ea581b932,area_pedonale,Via degli uffici del Vicario,da_definire,,placeholder,,
Aree_Pedonali:089f43ed75,area_pedonale,Piazza Rondanini,da_definire,,placeholder,,
Aree_Pedonali:9f087370d5,area_pedonale,Piazza Walter Rossi,da_definire,,placeholder,,
Aree_Pedonali:acb78845c2,area_pedonale,Largo Cervinia,da_definire,,placeholder,,
Aree_Pedonali:1202ba87b4,area_pedonale,Largo Gabriele Sandri,da_definire,,placeholder,,
Aree_Pedonali:fa93bd634c,area_pedonale,Via Pietro Pomponazzi,da_definire,,placeholder,,
Aree_Pedonali:851bc0c45f,area_pedonale,Piazza Santa Maria delle Grazie,da_definire,,placeholder,,
Aree_Pedonali:3e854d1f35,area_pedonale,Largo Ugo Bartolomei,da_definire,,placeholder,,
Aree_Pedonali:2aff04987c,area_pedonale,Via Giulio Venticinque,da_definire,,placeholder,,
Aree_Pedonali:0ce7b01d12,area_pedonale,Piazza Antonino Cascino,da_definire,,placeholder,,
Aree_Pedonali:2a9943c451,area_pedonale,Vicolo dell'Orto di Napoli,da_definire,,placeholder,,
Aree_Pedonali:f45f588f69,area_pedonale,Via Vittoria,da_definire,,placeholder,,
Aree_Pedonali:1e67761831,area_pedonale,Largo Carlo Goldoni,da_definire,,placeholder,,
Aree_Pedonali:db113b2fe8,area_pedonale,Piazza di San Lorenzo in Lucina,da_definire,,placeholder,,
Aree_Pedonali:a4fd380308,area_pedonale,Vicolo Rosini,da_definire,,placeholder,,
Aree_Pedonali:f7ac47ac42,area_pedonale,Piazza di Pietra,da_definire,,placeholder,,
Aree_Pedonali:2bcda63dda,area_pedonale,Via di Pietra,da_definire,,placeholder,,
Aree_Pedonali:e68b8b5d6b,area_pedonale,Via delle Muratte,da_definire,,placeholder,,
Aree_Pedonali:0bb69cc1e5,area_pedonale,Vicolo delle Bollette,da_definire,,placeholder,,
Aree_Pedonali:46a3d142f8,area_pedonale,Via della Stamperia,da_definire,,placeholder,,
Aree_Pedonali:7b86f452d6,area_pedonale,Via del Lavatore,da_definire,,placeholder,,
Aree_Pedonali:bec68d561f,area_pedonale,Vicolo del Forno,da_definire,,placeholder,,
Aree_Pedonali:f805cf20cd,area_pedonale,Via di San Vincenzo,da_definire,,placeholder,,
Aree_Pedonali:e3c8e78043,area_pedonale,Vicolo dei Modelli,da_definire,,placeholder,,
Aree_Pedonali:5ddb2b5e69,area_pedonale,Vicolo Scavolino,da_definire,,placeholder,,
